No,Perusahaan,Alamat,KBLI
13137.,PT Bali Oxygen Supply,"Jalan Panji Sakti, Banjar Taman, Batu Agung, Jembrana, Kabupaten Jembrana, Bali Telp. 081*********",20112
13138.,PT Bali Putra Indonesia,"JL. Industri Rt.01/04 Bojong, Tarikolot, Citeureup, Kabupaten Bogor, Jawa Barat Telp. 081*********",31004
13139.,PT Bali Quality Sweet,Telp.,
13140.,PT Bali Radiance,Telp.,
13101.,PT Perorangan Bali Bath Group,"Jalan Jepun Pipil 15 Asri Blok E, Rumah ke 5 dari ujung, tengah sawah, Kesiman Kertalangu, Denpasar Timur, Kota Denpasar, Bali Telp. 081********",20231
13102.,CV Bali Bintang Terang,"Jalan Pulau Batanta no 19, Dauh Puri Kauh, Denpasar Barat, Kota Denpasar, Bali Telp. 0361234907",14111
13103.,CV Bali Boga Sejati,Telp.,
13104.,PT Bali Brain Freeze,"Jalan Palapa 11 No. 8, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali Telp. 081*********",77391
13105.,PT Bali Busana Kreasi,"Perum Anggi Elok Blok F no 19, Br Kung, Dalung - Kuta Utara, Dalung, Kuta Utara, Kabupaten Badung, Bali Telp. 0361 9003639",14111
13106.,CV Bali Celebriti Metaksu,"RENDING SANCTUARY RESIDEN & VILLAS NO.1 BANJAR TEGEH, Dalung, Kuta Utara, Kabupaten Badung, Bali Telp. 081*********",10710
13107.,UD Bali Chai Sayang,Telp.,
13108.,PT Bali Coklat,"Jl. Denpasar-Singaraja No.29, Werdi Bhuwana, Kec. Mengwi, Kabupaten Badung, Bali, Werdi Bhuwana, Mengwi, Kabupaten Badung, Bali Telp. (0361) 2091011",10732
13109.,CV Bali Creative House,"JL. GUNUNG TALANG NO.2, Padangsambian, Denpasar Barat, Kota Denpasar, Bali Telp. 03618456364",14111
13110.,CV Bali Danu Sentana,"Jalan Angsoka Selatan Nomor 99, Dusun/Lingkungan Tengah, Ubung, Denpasar Utara, Kota Denpasar, Bali Telp. 081*******",
13111.,PT Bali Dewata Melali,"Jalan Goa Betel 5 no 10, Jimbaran, Kuta Selatan, Kabupaten Badung, Bali Telp. 081*******",10774
13112.,PT Bali Distillery Utama,"Jl. Danau Tondano No. 58, Taman, Sanur, Denpasar Selatan, Kota Denpasar, Bali Telp. 03614721377",11010
13113.,PT Bali Es,"Jl. TGH. Ibrahim Khalidi, Raya Kediri KM 2,4, Kediri, Kediri, Kabupaten Lombok Barat, Nusa Tenggara Barat Telp. 03706171955",35302
13114.,PT Bali Export Sarana Tunggal,"Jl. Raya Ujung Berung No.32, Cipadung, Cibiru, Kota Bandung, Jawa Barat Telp. 081***********",14111
13115.,PT Bali Extract Utama,"JL. Pantai Lepang Desa Takmung, Takmung, Banjarangkan, Kabupaten Klungkung, Bali Telp. 0366-5551221",10799
13116.,PR Bali Gendis,"DUSUN TENGAH DESA DAWAN KLOD, Desa/Kelurahan Dawan Kelod, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Dawan Kelod, Dawan, Kabupaten Klungkung, Bali Telp. +6281353135334",
13117.,PT Bali Internusa Gelatonesia,"Jl. Palapa IV C/2, Sesetan, Denpasar, Desa/Kelurahan Sesetan, Kecamatan Denpasar Selatan, Sesetan, Denpasar Selatan, Kota Denpasar, Bali Telp. 081*******",10531
13118.,CV Bali Jogja Perkasa,Telp.,
13119.,PT Bali Kanty Lestari,Telp.,
13120.,CV Bali Karya Persada,Telp.,
13081.,PT Balegede Internasional,"Jl. Prof. Dr. Ida Bagus Mantra No. 101, Ketewel, Sukawati, Kabupaten Gianyar, Bali Telp. 081********",16221
13082.,PR Balfresso Coffee,Telp.,
13083.,PR Balgis,"Jl. Suratno Gang 1 No. 16 RT 01 RW 01, Kebonbaru, Kejaksan, Kota Cirebon, Jawa Barat Telp. 081********",10710
13084.,PR Balgis Alamri,"Boroko utara, Boroko Utara, Kaidipang, Kabupaten Bolaang Mongondow Ut, Sulawesi Utara Telp. 082*********",10750
13085.,PR Balgis Albram,"Jl. MS. Padede, Bula, Bula, Kabupaten Seram Bagian Timur, Maluku Telp. 081*********",10750
13086.,PR Balgis Sulaeman,Telp.,
13087.,PT Bali Agro Investama,Telp.,10613
13088.,PT Perorangan Bali Agrofarm Industry,"Perumahan Taman Tirta Blok A 16 Jl. Pantai Kedungu, Banjar Tegal Antugan, Nyitdah, Kediri, Kabupaten Tabanan, Bali Telp. -",10313
13089.,PT Bali Agung Waters,"Jl Besakih No.4 Tegenan, Menanga, Rendang, Kabupaten Karang Asem, Bali Telp. 0361728734",11051
13090.,PT Bali Alus,"Jalan Wibisana Barat No. 100, Pemecutan Kaja, Denpasar Utara, Kota Denpasar, Bali Telp. 03619005808",20232
13091.,PT Bali Aneka Segar,"JL. RAYA ULUWATU 1 JIMBARAN, KUTA SELATAN, JIMBARAN, KUTA SELATAN, Kabupaten Badung, Bali Telp. 081*********",10772
13092.,PT Bali Animasi Solusi Ekakarsa,"Jl Teuku Umar Bara t No 379, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali Telp. 0361",
13093.,PT Bali Animation Studio,"Jl. Teuku Umar Barat No. 379 LT II, Padangsambian Kelod, Denpasar Barat, Kota Denpasar, Bali Telp. 0361846671",
13094.,CV Bali Apparel Sentosa,"Jl Mertasari No. 167 Sidakarya, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali Telp. 03614487132",14111
13095.,PT BALI ARTHA SEDUH,"Banjar Dlod Peken, Keramas, Blahbatuh, Kabupaten Gianyar, Bali Telp. 081*********",
13096.,PT Bali Asli Alami,Telp.,
13097.,CV Bali Ayu Shop,Telp.,
13098.,CV Bali Ayu Shop,Telp.,
13099.,CV Bali Bagus,"JL. TEUKU UMAR NO. 246 R, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali Telp. 0361 244 664",10710
13100.,CV Bali Bakti Anggara,"Jl. Mulawarman no.2a (116X) Lingk Kaja Kauh, Gianyar, Gianyar, Kabupaten Gianyar, Bali Telp. 0361 944278",16293
13061.,UPTD Balai Standardisasi dan Pelayanan Jasa Industri Surabaya,"Jl. Jagir Wonokromo No. 360, Jagir, Wonokromo, Kota Surabaya, Jawa Timur Telp. 03199843670",71202
13062.,PR Balakampung,"Lingkungan Landi, Rangas, Simboro dan
Kepulauan, Kabupaten Mamuju, Sulawesi Barat Telp. 085*********",16221
13063.,PR Balakas Karya Sejahtera,"Jl. Pekapuran A Rt. 16 Rw. 2 No. 2, Karang Mekar, Banjarmasin Timur, Kota Banjarmasin, Kalimantan Selatan Telp. 082*********",13134
13064.,PT Balam Sawit Sejahtera,Telp.,
13065.,PR Balamok,"Sebengkok waru, Sebengkok, Tarakan Tengah, Kota Tarakan, Kalimantan Utara Telp. 082*********",10794
13066.,PR Balandina Sohilait,"Allang Asaude, Allang Asaude, Huamual Belakang, Kabupaten Seram Bagian Barat, Maluku Telp. 0",10710
13067.,PT Balaraja Barat Indah,"Jl. Modern Industri XVI Blok AN No. 1 Desa Nambo Udik, Desa Nambo Udik, Cikande, Kota Serang, Banten Telp. 081*******",11020
13068.,PT Balaraja Food Makmur Abadi,"jln.raya serang km 25,5 ( kawasan industri olex ), sentul, balaraja, Kabupaten Tangerang, Banten Telp. 021-5951747 -48",10710
13069.,PT Balaraja Metalindo,"Jl. Raya Serang KM. 18,8 Kawasan Industri Purati Kencana Alam (Bonen) No. 33A, Desa Sukanagara, Cikupa, Kabupaten Tangerang, Banten Telp. (021) 5961870",32904
13070.,PT Balaraja Sakti Nusantara,"Manyaran, Manyaran, Banyakan, Kabupaten Kediri, Jawa Timur Telp. 085*********",23963
13071.,PT Balatif,"jln. Tenaga Tengah no 5, Blimbing, Blimbing, Kota Malang, Jawa Timur Telp. 0341-497172",21012
13072.,PT Balatif,"Dusun Ledokdowo Blok V, Pakisjajar, Pakis, Kabupaten Malang, Jawa Timur Telp. 0341-3059127",21022
13073.,CV Bale Berkah Bor,"Jl Ali Napiah No 2 Babakan, Babakan, Sandubaya, Kota Mataram, Nusa Tenggara Barat Telp. 087*********",28210
13074.,PT Bale Dhana,"Jl. Profesor 1B Mantra No 9X, Desa/Kelurahan Gunaksa, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Gunaksa, Dawan, Kabupaten Klungkung, Bali Telp. +62 812-9170-4679",23957
13075.,PR Bale Karya,Telp.,
13076.,CV Bale Kreatif,Telp.,
13077.,CV Bale Living,"Ds. Sukodono RT 002 RW 004, Sukodono, Tahunan, Kabupaten Jepara, Jawa Tengah Telp. 02914290321",31001
13078.,PT Bale Sogi Indonesia,Telp.,
13079.,PT Balebat Dedikasi Prima,Telp.,
13080.,PT Balebat Dedikasi Prima,"Kawasan Indsutri Pulogadung Jl. Rawa gatel No 17, cakung, Jatinegara, Kota Jakarta Timur, DKI Jakarta Telp. 0251 - 8247760",26391
13041.,PR Baktiar,"Jln. Soekarno Hatta, RT 015/RW 007, Labuan Bajo, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur Telp. 085*********",10779
13042.,PR Baktiar Firmansyah,"jalan ngadiluwih,, Kedungpedaringan, Kepanjen, Kabupaten Malang, Jawa Timur Telp. 082*********",14131
13043.,PR Baktiar Firmansyah,Telp.,
13044.,PR Baktiar Rambe,Telp.,
13045.,PR Bakul Dimsum,"Jl. KH. Syamsuri RT/RW 003/006, Lonrae, Tanete Riattang Timur, Kabupaten Bone, Sulawesi Selatan Telp. +6285157972007",10216
13046.,PR Bakul Maki,"Kp. Sidodadi Utara, Kijang Kota, Bintan Timur, Kabupaten Bintan, Kepulauan Riau Telp. 082*********",10794
13047.,PR Bakul Rara,Telp.,
13048.,PR Bakulan Alea,Telp.,
13049.,PR Bakulan Mutia,"JL. ANDI JAJA NO.228, Siwa, Pitumpanua, Kabupaten Wajo, Sulawesi Selatan Telp. 081*******",
13050.,PR Bakulan Umi Lathifah,"Jl.D.A.Tawa II RT/RW III, Bukit Tunggal, Jekan Raya, Kota Palangka Raya, Kalimantan Tengah Telp. 085*********",10762
13051.,PT Bala Aditi Pakuaty,"jl veteran no 15 b, Sukorame, Mojoroto, Kota Kediri, Jawa Timur Telp. 081*********",10793
13052.,PT Bala Raja Kencana Mas,"PERGUDANGAN TAMBAK SAWAH PERMATA F NOMOR 02, Tambaksawah, Waru, Kabupaten Sidoarjo, Jawa Timur Telp. 081*********",25119
13053.,PT Balaboom Technology Indonesia,"WeWork Sinarmas MSIG, 38th Floor Office #38-999, Sinarmas MSIG Tower, Jl. Jend. Sudirman Kav. 21,, Karet, Setiabudi, Kota Jakarta Selatan, DKI Jakarta Telp. 081*******",63122
13054.,PT Balagi Rattan,Telp.,
13055.,PT Balagi Rattan,"JALAN RAYA KANCI KM 9, Kanci, Astanajapura, Kabupaten Cirebon, Jawa Barat Telp. 0231510124",16291
13056.,BUL Balai Besar Laboratorium Kesehatan Masyarakat Surabaya,Telp.,
13057.,UPTD Balai Besar Standardisasi Dan Pelayanan Jasa Pencegahan Pencemaran Industri,Telp.,
13058.,PT Balai Pustaka (persero),"Jalan Rawagatel No.17, Pulo Gadung, Pulogadung, Kota Jakarta Timur, DKI Jakarta Telp. 021 8683369",18111
13059.,UPTD Balai Standardisasi dan Pelayanan Jasa Industri Ambon,Telp.,
13060.,BUP Balai Standardisasi Dan Pelayanan Jasa Industri Jakarta,"Jl. Cikini IV No.15 12, RT.15/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Cikini, Menteng, Kota Jakarta Pusat, DKI Jakarta Telp. 0213150214",71201
13021.,PR Bakti Abrianto,Telp.,
13022.,CV Bakti Alam Nusantara,"KALING RT.001 RW.001, Kaling, Tasikmadu, Kabupaten Karanganyar, Jawa Tengah Telp. 085********",20121
13023.,PT Bakti Bangun Sarana,"JL. DANAU II BLOK D2 NO.6, Desa/Kelurahan Ciantra, Kec. Cikarang Selatan, Kab. Bekasi, Provinsi Jawa Barat,, Ciantra, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 081*********",23953
13024.,PT Bakti Bintang Andalan,"Jalan Asam Jaya No.79, RT.004/RW.006, Mustikajaya, Mustikajaya, Kota Bekasi, Jawa Barat Telp. 021-38805116",28130
13025.,CV Bakti Bumi,Telp.,
13026.,PT Bakti Bumi Indonesia,"Jl Kusuma Gang Pasar Baru III, Berbek, Waru, Kabupaten Sidoarjo, Jawa Timur Telp. 082*********",28299
13027.,PT Bakti Cemerlang Indonesia,Telp.,
13028.,PT Bakti Energi Abadi,Telp.,
13029.,PT Bakti Energi Sejahtera,"Kampung Ballewe, Binuang, Balusu, Kabupaten Barru, Sulawesi Selatan Telp. 081********",16105
13030.,PT Bakti Energi Sejahtera,"Dusun Geulanggang Meurak, Suak Puntong, Kuala Pesisir, Kabupaten Nagan Raya, Nangroe Aceh Darussalam Telp. 081********",16105
13031.,PT Bakti Energi Sejahtera,"Desa Gondang, Gondang, Tugu, Kabupaten Trenggalek, Jawa Timur Telp. 081********",16105
13032.,PT Bakti Energi Sejahtera,Telp.,
13033.,PT Bakti Energi Sejahtera,"Kompleks PLTBm Pulubala Gorontalo, Pongongaila, Pulubala, Kabupaten Gorontalo, Gorontalo Telp. 081********",16105
13034.,PT Bakti Energi Sejahtera,"Jalan Terusan Mas, Tembilahan  Hilir, Tembilahan, Kabupaten Indragiri Hilir, Riau Telp. 081********",16105
13035.,PT Bakti Energi Sejahtera,"Dusun Baji Pamai, Punagaya, Bangkala, Kabupaten Jeneponto, Sulawesi Selatan Telp. 081********",16105
13036.,PT Bakti Nusantara Siswamedia,Telp.,
13037.,CV Bakti Pratama,"Jl. Raya Karangjati - Pringapus, Klepu, Pringapus, Kabupaten Semarang, Jawa Tengah Telp. 085*********",32909
13038.,PT Bakti Putra Nusantara,"Dukuh Watu Belah RT 01 Rw 4, Tamanrejo, Limbangan, Kabupaten Kendal, Jawa Tengah Telp. 085*********",16211
13039.,PT BAKTI PUTRA NUSANTARA,"DUKUH WATU BELAH RT 01 RW 04, TAMANREJO, LIMBANGAN, Kabupaten Kendal, Jawa Tengah Telp. 02476631018",
13040.,PR Bakti S. Arci,"JL.BANGAU II, Tambak Sari, Jambi Selatan, Kota Jambi, Jambi Telp. 081*********",21022
13401.,PT Bangun Makmur Utama,"Jl. Raya Blora - Rembang KM. 9+000, Sendangharjo, Blora, Kabupaten Blora, Jawa Tengah Telp. 085*********",23953
13402.,PT Bangun Makmur Utama,Telp.,
13403.,PT Bangun Manunggal,"Desa Pacing, Pacing, Sedan, Kabupaten Rembang, Jawa Tengah Telp. 088********",23963
13404.,PT Bangun Mineralindo Perkasa,"Perumnas Bumi Cibeber Kencana Blok E 14 No 25-26, Cibeber, Cibeber, Kota Cilegon, Banten Telp. 087*********",11051
13405.,PT Bangun Mulya Abadi,"Jl.Pangkalan Raya Rt003 Rw003, Karadenan, Cibinong, Kabupaten Bogor, Jawa Barat Telp. 0251 8655522",30912
13406.,PT Bangun Nusa Mandiri,"Desa Tribun Jaya, Tribun Jaya, Manis Mata, Kabupaten Ketapang, Kalimantan Barat Telp. 50338899",10431
13407.,PT Bangun Nusantara Indonesia,"Gang Sawo No. 8 Rt. 005 Rw. 008, Jatimulya, Tambun Selatan, Kabupaten Bekasi, Jawa Barat Telp. 02129085354",22220
13408.,PT Bangun Olah Bitumen,"JLN RADEN PATAH NO. 16 RT 05 RW 02, Lebaksono, Pungging, Kabupaten Mojokerto, Jawa Timur Telp. 0321000592311",19291
13409.,PT Bangun Percaya Sosial,"JL Wolter Monginsidi No 63B Kebayoran Baru Jakarta Selatan, , , Kota Jakarta Selatan, DKI Jakarta Telp.",63111
13410.,CV Bangun Persada Makmur,Telp.,
13411.,PR Bangun Pudyati Utami,"BRAYUT RT 01 RW 28 PANDOWOHARJO SLEMAN, Pandowoharjo, Sleman, Kabupaten Sleman, DI Yogyakarta Telp. 081*********",10510
13412.,PR Bangun Pudyati Utami,Telp.,
13413.,CV Bangun Rahmat Teknik,Telp.,
13414.,PT Bangun Rancang Indonesia Kita,"Jl Raya Legok KM5 -- Karawaci, Kel. Legok, Tangerang, Banten, Legok, Legok, Kabupaten Tangerang, Banten Telp. 088**********",23957
13415.,PT Bangun Rasaguna Lestari,"Jl. Mekar Raya No. 15C RT. 001, RW. 005, Mekar Mulya, Panyileukan, Kota Bandung, Jawa Barat Telp. 02263722190",10590
13416.,CV Bangun Raya Semesta,"JL. SUTAWIJAYA III NO.12, Desa/Kelurahan Kemandungan, Kec. Tegal Barat, Kota Tegal, Provinsi Jawa Tengah, Kode Pos: 52114, Kemandungan, Tegal Barat, Kota Tegal, Jawa Tengah Telp. 0283 324673",25112
13417.,PT Bangun Ringan Perkasa,Telp.,
13418.,PT Bangun Ringan Perkasa,"Jl. Raya Bandung  Cianjur Km. 10 No. 6, Hegarmanah, Sukaluyu, Kabupaten Cianjur, Jawa Barat Telp. (0263) 322914",23953
13419.,PT Bangun Sarana Alloy,"JL. INDUSTRI RAYA III BLOK AF NO.8, Bunder, Cikupa, Kabupaten Tangerang, Banten Telp. 021 5902141",29300
13420.,PT BANGUN SARANA BAJA,"Jl. Mayjen Sungkono XII/8, Gulomantung, Kebomas, Kabupaten Gresik, Jawa Timur Telp. 031-3971919",41013
13381.,CV Bangun Daffa Jaya,"Kp. Garukgak, Cikuda, Parung Panjang, Kabupaten Bogor, Jawa Barat Telp. 081*********",23957
13382.,PT BANGUN ERA SEJAHTERA,"Jl. Palem Manis II, Kawasan Industri Manis, Gandasari, Jatiuwung, Kota Tangerang, Banten Telp. 021-5909888",29300
13383.,PT Bangun Era Sejahtera Mandiri,"Jl. Palem Manis II No. 88 Rt.001 / Rw. 006 Kel. Gandasari Kec. Jatiuwung Kab/Kota. Kota Tangerang Provinsi Banten, Gandasari, Jatiuwung, Kota Tangerang, Banten Telp. 081*********",25111
13384.,PT Bangun Era Sejahtera Mandiri,"Jl. Palem Manis II No. 88 Rt.001/006, Kawasan Industri Manis, Gandasari, Jatiuwung, Kota Tangerang, Banten Telp. 02156656779",25112
13385.,PT Bangun Era Sejahtera Teknik,"Jl.Industri Raya III Blok AE, Bunder, Cikupa, Kabupaten Tangerang, Banten Telp. 021 59712463",29200
13386.,PT Bangun Era Sukses,"JL. PALEM MANIS 2 NO.88, Gandasari, Jatiuwung, Kota Tangerang, Banten Telp. 021 - 55656779",25111
13387.,PT Bangun Graha Putra Jaya,"Jl Kalianak 75  blok B11, Genting Kalianak, Asem Rowo, Kota Surabaya, Jawa Timur Telp. 031 7491325",28240
13388.,PT Bangun Indonesia Menjadi Andalan,"RUKO ROSE GARDEN, GRAND GALAXY CITY, JL. ROSE GARDEN 1, BLOK RRG 1 NOMOR 39, Jakasetia, Bekasi Selatan, Kota Bekasi, Jawa Barat Telp. 021-82671907",20212
13389.,PT Bangun Indopralon Sukses,"Dusun Mrunggi, Pasinanlemahputih, Wringinanom, Kabupaten Gresik, Jawa Timur Telp. 088*********",22210
13390.,PT Bangun Indopralon Sukses,Telp.,
13391.,PT Bangun Indopralon Sukses,"JL WISATA DUSUN LELEDE DESE, Lelede, Kediri, Kabupaten Lombok Barat, Nusa Tenggara Barat Telp. 088*********",
13392.,PT Bangun Indopralon Sukses,"JALAN RAYA SOLO TAWANGMANGU KM 8 NO 32, Triyagan, Mojolaban, Kabupaten Sukoharjo, Jawa Tengah Telp. 081***********",22210
13393.,PT Bangun Indopralon Sukses Cikopo,"KP. Cinta Karya RT 011 RW 005, Cikopo, Bungursari, Kabupaten Purwakarta, Jawa Barat Telp. 088*********",22210
13394.,PT Bangun Inti Cemerlang,"Komplek Pergudangan Tahap III, Loa Bakung, Sungai Kunjang, Kota Samarinda, Kalimantan Timur Telp. 082*********",41013
13395.,PT BANGUN INTI KENCANA,Telp.,
13396.,PT Bangun Jaya Metalindo,"JALAN RAYA DADAP NO 47 PERGUDANGAN SENTRA DADAP, Kosambi Timur, Kosambi, Kabupaten Tangerang, Banten Telp. 085*********",25111
13397.,PT Bangun Jaya Plastik,"Jalan Neman Mulya Kp Pengasinan No 47, Pengasinan, Rawalumbu, Kota Bekasi, Jawa Barat Telp. 021 8214808",22299
13398.,PT Bangun Jaya Truss,"JL. RAYA PERANCIS, KOMPLEK PERGUDANGAN 8 BLOK AR, Jati Mulya, Kosambi, Kabupaten Tangerang, Banten Telp. 081*********",25952
13399.,PT Bangun Jiwa Gempita Persada,"GAMPENG RT 002 RW 000, Triwidadi, Pajangan, Kabupaten Bantul, DI Yogyakarta Telp. 081*********",12011
13400.,PT Bangun Maju Lestari,"Jl. Mojo KM 3 Dusun Bulu, Jaten, Jaten, Kabupaten Karanganyar, Jawa Tengah Telp. 0271-826912",32509
13361.,PR Bangsal Cigars,Telp.,
13362.,PT Bangun Abadi Teknologi Indonesia,"Tokopedia Care Tower Level 12 Suite 06 Ciputra International, Jl. Lingkar Luar Barat blok A No. 1, RT.14 RW.04, Kelurahan Rawa Buaya, Kecamatan Cengkareng, Jakarta 11740, Rawa Buaya, Cengkareng, Kota Jakarta Barat, DKI Jakarta Telp. 080********",63112
13363.,CV Bangun Adi Jaya,"Jl. kayu besar VI blok C no.2, tegal alur, kalideres, Kota Jakarta Barat, DKI Jakarta Telp. 021-5552153",23929
13364.,CV Bangun Alief Anugerah,"JL. RAYA PURWOSARI, Purwosari, Purwosari, Kabupaten Pasuruan, Jawa Timur Telp. 082*********",12013
13365.,PT Bangun Andalan Perkasa,"Jl. Sultan Agung No.80, RT.003/RW.005, Kali Baru, Kecamatan Medan Satria, Kota Bks, Jawa Barat 17132, Medansatria, Medansatria, Kota Bekasi, Jawa Barat Telp. +62 21 7918 6869",
13366.,PT Bangun Anugerah Hanjaya,"Taman Tekno BSD City Sektor XI Blok F 1 Unit E, Setu, Setu, Kota Tangerang Selatan, Banten Telp. 02175878787",31009
13367.,PT Bangun Anugerah Persada,"Jl Kelud I No.10, Bambe, Driyorejo, Kabupaten Gresik, Jawa Timur Telp. 0317675088",10710
13368.,PT Bangun Anugerah Persada,Telp.,
13369.,PT Bangun Anugrah Beton Nusantara,"JL. Raya Yomani Guci KM. 01, Timbangreja, Lebaksiu, Kabupaten Tegal, Jawa Tengah Telp. 02834691424",23957
13370.,PT Bangun Anugrah Beton Nusantara,Telp.,
13371.,CV Bangun Arta,"JL.RAYA KRIKILAN KM.23, TANJUNGAN, DRIYOREJO, Kabupaten Gresik, Jawa Timur Telp. 0317591209",
13372.,CV Bangun Artha Kirana,"Desa simpang tiga rt 4, Simpang tiga, Lampihong, Kabupaten Balangan, Kalimantan Selatan Telp. 085*********",58200
13373.,PT Bangun Baja Cipta Mandiri,"Jl. MT. Hariono , RT 07 RW 09 , Kelurahan Cileduk, Kecamatan Setu . Kabupaten Bekasi, Cileduk, Setu, Kabupaten Bekasi, Jawa Barat Telp. 02182600426",25113
13374.,PT Bangun Berkarya Multienergi,"JL. IR. SURATIN (d/h : JALAN RAYA CICAU), KP. CICAU, RT 001 / RW 003., Cicau, Cikarang Pusat, Kabupaten Bekasi, Jawa Barat Telp. 081********",45407
13375.,PT Bangun Berkat Jaya Lestari,"Jl. mawar No. 18 RT. 004 RW. 002, Padurenan, Mustika Jaya, Kota Bekasi, Jawa Barat Telp. 82651313",22299
13376.,PT Bangun Cipta Interindo,"jalan SKKI Nomor 60, pondok jagung, serpong utara, Kota Tangerang Selatan, Banten Telp. 081*******",31009
13377.,PT Bangun Cipta Primantara,"JL. Raya Industri I No.09, Cipeundeuy, Padalarang, Kabupaten Bandung Barat, Jawa Barat Telp. 022 68644736",31009
13378.,PT BANGUN CITRA IRAWAN,"JL. KEDINDING TENGAH II NO. 16, Tanah Kali Kedinding, Kenjeran, Kota Surabaya, Jawa Timur Telp. 0313714362",25112
13379.,CV Bangun Citra Lestari,Telp.,
13380.,CV Bangun Daffa Jaya,"KP. GARUKGAK RT03 RW05, Cikuda, Parung Panjang, Kabupaten Bogor, Jawa Barat Telp. 81382671888",23957
13341.,BHL Bangkayu Babel,Telp.,
13342.,PT Bangkit Agung Gemilang,"jl. Pnpm mandiri desa beluluk bangka tengah, Beluluk, Pangkalan  Baru, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung Telp. 085*********",
13343.,CV Bangkit Bersama Jaya Abadi,"Bandingan Rt 25 rw 11, Bandingan, Kejobong, Kabupaten Purbalingga, Jawa Tengah Telp. -",20231
13344.,CV Bangkit Cipta Anugerah,"Jl. Veteran Barat Ds. Tempuran Rt 003 / Rw 005, Bulakan, Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah Telp. 081*********",16101
13345.,PT Bangkit Cipta Perkasa,Telp.,
13346.,PT Bangkit Daya Kreasindo,"Desa Watuagung RT 007 RW 004 Kecamatan Tambak, Watuagung, Tambak, Kabupaten Banyumas, Jawa Tengah Telp. 085*********",10722
13347.,CV Bangkit Informatika Teknologi,"Jalan Citarik No.16, Bendo, Kota Blitar, Jawa Timur 66116, Indonesia, Bendo, Kepanjenkidul, Kota Blitar, Jawa Timur Telp. 085*********",63112
13348.,PT Bangkit Jaya Teknik Indonesia,"Dangdang, kec Cisauk Kab Tangerang, Dangdang, Cisauk, Kabupaten Tangerang, Banten Telp. 02175686118",
13349.,PT Bangkit Jaya Teknik Indonesia,Telp.,28193
13350.,CV Bangkit Lestari Jaya,"Kecapi RT 013/002, Kecapi, Tahunan, Kabupaten Jepara, Jawa Tengah Telp. 082*********",11051
13351.,CV Bangkit Maju Jaya,"KUTAWARINGIN INDUSTRIAL PARK JL. KUTAWARINGIN RAYA NO. 71, JELEGONG, KUTAWARINGIN, Kabupaten Bandung, Jawa Barat Telp. 022-6126959",37021
13352.,PT Bangkit Makmur Abadi,"Desa Kembangan RT 04 RW 01, Kembangan, Bukateja, Kabupaten Purbalingga, Jawa Tengah Telp. 0286 476290",16211
13353.,PT Bangkit Metal Industri Langgeng Mulia,"Jl. Akasia 2 Blok AE No. 20-21, Delta Silicon 1, Cibatu, Cikarang Selatan, Kabupaten Bekasi, Jawa Barat Telp. 021-8974176",25920
13354.,PT Bangkit Setiasentosa Primatama,"JL. BUMIMAS RAYA NO.5 KOMPLEK INDUSTRI CIKUPAMAS, Talaga, Cikupa, Kabupaten Tangerang, Banten Telp. 021. 59403022",
13355.,PT Bangkit Sukses Sentosa,Telp.,
13356.,PR Bangkit Sukses Tabaco,"Desa Mijen Rt 03 Rw 05, Kec. Mijen, Kabupaten Demak, Mijen, Mijen, Kabupaten Demak, Jawa Tengah Telp. 082*********",12011
13357.,PT Bangkit Teknologi Nusantara,Telp.,
13358.,CV Bangkitsama Maju Bersama,"Jalan Lintas Sumatera Riau Jambi Dusun Srimambang RT.001 RW.000, Keritang, Kemuning, Kabupaten Indragiri Hilir, Riau Telp. 081*********",23963
13359.,CV Bangkitsama Maju Bersama,Telp.,
13360.,PR Bangra Jaya,"Kelurahan Kayawu Lingkungan 4, Kayawu, Tomohon Utara, Kota Tomohon, Sulawesi Utara Telp. 082*********",10722
13321.,PR BANGAU,"Desa Krasak RT 02 RW 04, KRASAK, PECANGAAN, Kabupaten Jepara, Jawa Tengah Telp. -",12011
13322.,PT Bangau Sari Mega Jaya,"Jl. Pembangunan No.9 Rt/Rw.001/005 - Cikahuripan, Mekarsari, Neglasari, Kota Tangerang, Banten Telp. 021-55797644",10723
